"","votemail1a","votemail1b","votecount","vote20jb"
"743",7,77,4,1
"744",4,77,3,2
"745",2,77,3,2
"746",4,77,4,4
"747",7,77,4,1
"748",4,77,4,4
"749",4,77,4,2
"750",7,77,3,1
"751",4,77,4,1
"752",1,77,3,2
"753",4,77,4,1
"754",1,77,1,2
"755",4,77,2,1
"756",7,77,4,1
"757",4,77,1,4
"758",4,77,3,4
"759",1,77,2,2
"760",1,77,5,2
"761",3,77,3,2
"762",1,77,4,2
"763",7,77,4,1
"764",4,77,3,3
"765",1,77,4,3
"766",6,77,3,3
"767",1,77,4,3
"768",2,77,1,2
"769",1,77,3,2
"770",2,77,5,1
"771",2,77,2,3
"772",7,77,4,2
"773",2,77,4,2
"774",1,77,4,1
"775",7,77,4,1
"776",5,77,3,2
"777",4,77,5,1
"778",2,77,3,3
"779",2,77,3,1
"780",1,77,5,2
"781",5,77,2,1
"782",1,77,4,1
"783",1,77,4,2
"784",4,77,2,2
"785",5,77,4,1
"786",1,77,5,2
"787",3,77,2,1
"788",7,77,4,1
"789",1,77,5,1
"790",2,77,4,1
"791",1,77,3,2
"792",5,77,4,1
"793",2,77,5,2
"794",4,77,2,2
"795",2,77,4,2
"796",1,77,3,4
"797",5,77,5,1
"798",1,77,4,2
"799",5,77,2,2
"800",2,77,4,2
"801",1,77,5,3
"802",1,77,4,2
"803",3,77,4,1
"804",7,77,2,1
"805",7,77,4,1
"806",3,77,4,2
"807",2,77,4,2
"808",5,77,2,1
"809",1,77,1,3
"810",7,77,4,1
"811",1,77,4,2
"812",7,77,4,1
"813",7,77,2,1
"814",1,77,4,2
"815",4,77,1,4
"816",2,77,4,1
"817",6,77,4,1
"818",2,77,2,2
"819",3,77,4,1
"820",4,77,3,4
"821",6,77,3,1
"822",1,77,3,2
"823",6,77,3,1
"824",2,77,3,1
"825",2,77,5,1
"826",2,77,4,2
"827",4,77,2,2
"828",3,77,3,3
"829",1,77,4,2
"830",2,77,4,2
"831",7,77,4,1
"832",7,77,3,1
"833",3,77,5,1
"834",7,77,4,1
"835",7,77,3,1
"836",2,77,4,2
"837",3,77,4,1
"838",1,77,2,2
"839",1,77,2,2
"840",6,77,4,1
"841",1,77,4,1
"842",1,77,5,2
"843",6,77,4,1
"844",4,77,5,1
"845",1,77,3,2
"846",2,77,5,2
"847",3,77,5,1
"848",1,77,5,1
"849",1,77,4,2
"850",7,77,3,1
"851",1,77,3,2
"852",4,77,2,2
"853",2,77,3,2
"854",4,77,3,2
"855",1,77,5,2
"856",1,77,4,1
"857",7,77,5,1
"858",1,77,2,1
"859",4,77,3,1
"860",1,77,4,4
"861",2,77,3,1
"862",2,77,3,4
"863",7,77,2,1
"864",1,77,5,2
"865",4,77,3,1
"866",3,77,3,2
"867",3,77,3,2
"868",1,77,5,2
"869",5,77,3,1
"870",5,77,3,1
"871",1,77,4,2
"872",5,77,2,2
"873",1,77,5,1
"874",1,77,4,2
"875",2,77,2,3
"876",2,77,3,3
"877",1,77,5,2
"878",3,77,3,2
"879",3,77,3,1
"880",6,77,4,1
"881",2,77,3,2
"882",7,77,3,1
"883",2,77,4,1
"884",4,77,9,2
"885",4,77,5,1
"886",4,77,4,4
"887",3,77,1,2
"888",1,77,2,2
"889",1,77,5,3
"890",7,77,3,3
"891",4,77,2,1
"892",7,77,4,1
"893",4,77,4,1
"894",4,77,5,1
"895",1,77,4,2
"896",1,77,1,2
"897",1,77,5,3
"898",3,77,2,1
"899",3,77,3,1
"900",3,77,4,2
"901",5,77,4,1
"902",7,77,1,1
"903",1,77,3,2
"904",4,77,4,3
"905",1,77,4,2
"906",4,77,1,4
"907",3,77,4,1
"908",6,77,1,2
"909",1,77,4,2
"910",1,77,5,1
"911",1,77,3,2
"912",2,77,4,1
"913",4,77,3,4
"914",3,77,3,3
"915",7,77,2,1
"916",4,77,3,4
"917",1,77,4,2
"918",4,77,3,1
"919",3,77,2,2
"920",1,77,4,1
"921",1,77,3,2
"922",7,77,4,2
"923",2,77,3,4
"924",1,77,4,2
"925",5,77,4,1
"926",1,77,5,2
"927",1,77,5,2
"928",2,77,3,1
